OBSID,RA,DEC
0148690101,257.224416666667,-40.1765
0803240601,135.203958333333,57.6863333333333
0675010101,31.3888333333333,-58.4757777777778
0677770134,355.527333333333,-56.6493888888889
0085580501,268.562375,-30.0730833333333
0153170101,19.6998333333333,-0.985916666666667
0560191501,75.255,45.2987777777778
0800760301,280.241416666667,-77.1763055555556
0671080101,83.9202916666667,-69.2488333333333
0145450501,112.277041666667,37.0021111111111
0505381101,352.907375,-55.7610277777778
0555970401,224.49225,-11.7505277777778
0021140201,339.044333333333,33.9720833333333
0116700301,89.9458333333333,-50.4474444444444
0112230801,243.952625,-5.87752777777778
0744980701,300.208541666667,22.6942222222222
0721730301,21.0081666666667,-35.0773888888889
0671870501,209.764541666667,-41.9086388888889
0761111801,256.265666666667,-82.2020555555556
0743350501,243.201458333333,51.2767777777778
0801740601,83.924625,-67.5816111111111
0502510801,242.305166666667,26.7195277777778
0207210101,40.4648333333333,-53.0234722222222
0827250701,10.1784166666667,-43.35625
0691950201,157.510541666667,-35.2974166666667
0108061801,53.1445833333333,-27.8198611111111
0653950101,82.6484166666666,11.5889722222222
0804440301,346.650583333333,-5.06016666666667
0724791333,127.505833333333,42.1039722222222
0502041001,325.784666666667,6.88536111111111
0760940101,359.659458333333,-60.6014722222222
0106060601,187.715541666667,14.3640555555556
0672400131,267.075208333333,-13.6169444444444
0036540101,54.6427083333333,0.34475
0747420139,23.373,-0.141888888888889
0781890301,263.297625,44.0064722222222
0500070401,180.458791666667,-18.8315833333333
0651470201,65.0111666666667,-50.4089444444444
0406620201,287.934083333333,-11.2191666666667
0690970201,125.83725,-43.3786666666667
0144271401,269.106125,-21.9803333333333
0744450101,179.922875,-20.0187222222222
0677630133,32.5370416666667,-4.83558333333333
0821040401,225.282166666667,47.2480555555556
0820310301,95.3319583333333,-11.7524166666667
0603190201,260.049333333333,57.8871666666667
0112370701,34.2775,-5.32791666666667
0137151801,287.9365,5.00305555555556
0674491501,304.415125,-62.96425
0503600601,186.307041666667,32.2007222222222
0864080401,54.16525,-31.7206666666667
0801681601,267.594541666667,-30.3528055555556
0603510701,129.876583333333,-45.7973333333333
0603190101,260.047458333333,57.8871944444445
0822200101,123.876666666667,-3.16758333333333
0760440101,183.042916666667,1.57933333333333
0137551201,81.2178333333333,-69.7348333333333
0552210601,121.576666666667,-41.3513611111111
0402320101,41.739125,-1.00988888888889
0403070401,64.3792916666667,-62.8098611111111
0830191201,340.903875,-16.9699444444444
0406580101,257.078875,-41.1023888888889
0162160101,90.0344583333333,-66.5351944444444
0305290101,16.82175,32.4255277777778
0412982401,16.038375,-72.0125277777778
0203540901,69.0002083333333,22.6347222222222
0679991001,285.41375,-36.9234722222222
0604873440,352.877208333333,-53.496
0677810132,349.731166666667,-53.5015555555556
0801682601,268.187041666667,-28.9434722222222
0804110901,124.096541666667,-34.2789722222222
0601830501,318.001583333333,-49.3009166666667
0160960301,83.6155833333333,22.0378888888889
0555780601,53.133875,-27.8440833333333
0742520101,250.922916666667,-12.4415
0655381201,40.7264583333333,28.5565833333333
0120300101,84.7782083333333,-64.1044444444444
0790640101,346.205458333333,-8.70097222222222
0675471401,256.624208333333,-1.56452777777778
0656201801,180.285458333333,-39.9158055555556
0693221301,127.439916666667,33.9336111111111
0120300201,84.77825,-64.1046944444444
0651470801,65.0053333333333,-50.3510555555556
0111120101,285.455833333333,-36.9280277777778
0505460501,333.827583333333,-18.0767222222222
0693851201,49.6330416666667,-66.5027222222222
0107860201,170.025958333333,43.2721388888889
0679180801,22.6961666666667,45.2893055555556
0677630136,31.5336666666667,-4.836
0164561101,272.182166666667,-20.4328888888889
0800760201,354.583083333333,27.0326666666667
0851180701,229.017166666667,56.2769722222222
0203541801,68.4571666666667,26.2456111111111
0655380201,357.197541666667,2.22419444444444
0804440201,346.65025,-5.06027777777778
0741140501,174.020208333333,15.8236388888889
0780000201,182.499375,-52.4691666666667
0831791001,105.117458333333,-66.0445
0160160101,161.284166666667,-59.7123888888889
0747420134,23.1233333333333,-0.391694444444444
0800960501,182.514458333333,-52.4689722222222
0405380201,252.798625,-59.2116111111111
0502040901,325.738125,6.91822222222222
0312190701,79.93175,-32.6664166666667
0129341101,81.17725,-69.6464444444445
0079940101,348.882291666667,-59.1771388888889
0084230401,28.1971250000005,0.994972222222222
0403160201,226.558375,3.11561111111111
0200960101,137.481625,54.4598333333333
0821690101,109.909583333333,0.679722222222222
0782520301,155.871583333333,19.8932222222222
0604590301,85.1210416666667,-66.6581944444444
0763670301,316.5365,-58.7255833333333
0300470101,13.3708333333333,12.7083611111111
0094630101,128.640291666667,-45.78825
0677181501,159.928458333333,-8.65583333333333
0742150101,312.83925,44.1144166666667
0551120201,217.418875,-62.6481666666667
0414190801,187.271416666667,2.07938888888889
0744020601,40.6687916666667,-50.8227777777778
0135746701,277.403333333333,-9.71083333333333
0203810101,167.757791666667,-76.5245277777778
0822350101,227.932083333333,5.27575
0761790101,173.359291666667,-70.2237777777778
0302351801,149.849833333333,2.1825
0677810131,351.300333333333,-53.8793888888889
0748390801,293.758875,21.8834166666667
0677830142,353.8795,-53.8786388888889
0725290144,135.182041666667,1.29269444444444
0822740501,311.317208333333,-31.3594166666667
0300490501,322.088666666667,70.5490833333333
0762800201,328.786125,-75.4156666666667
0506531001,85.88675,-68.401
0505383501,353.120875,-54.6000833333333
0555630201,226.039291666667,-41.9176666666667
0747590136,352.183291666667,-52.6986111111111
0761920101,56.9554166666667,23.7782777777778
0690890201,300.156583333333,22.7265
0604873444,352.539833333333,-53.1160833333333
0801010101,151.847958333333,35.2723333333333
0152530101,122.726083333333,28.17
0745110101,183.576791666667,14.0255
0650340201,129.9535,51.1734166666667
0145430501,254.448583333333,35.3739166666667
0306680201,191.89775,67.4169444444445
0652720301,52.3805833333333,39.7781944444444
0401880601,141.936333333333,-6.04458333333333
0677810137,348.650125,-54.6434166666667
0406420801,260.026,58.8053611111111
0800730801,9.27104166666667,42.1599444444444
0112520101,143.509083333333,55.2098055555556
0112201001,276.360458333333,-9.56838888888889
0084020601,279.970875,5.05794444444444
0610980101,111.237791666667,66.9582222222222
0721010501,262.098,-14.2896944444444
0307001301,69.113625,-10.3943333333333
0677590133,37.5052916666667,-4.83127777777778
0111970201,297.184708333333,77.7599722222222
0693781901,321.971833333333,56.9198888888889
0102640601,23.5093333333333,30.7870555555556
0761670101,182.642833333333,39.4335277777778
0112520901,124.876,70.7335555555556
0764344301,167.360041666667,-65.0687777777778
0781850301,110.544958333333,11.1308055555556
0722670201,187.17875,7.71627777777778
0412600301,284.171125,-37.9314722222222
0111460101,116.154125,3.57669444444444
0701780101,146.433833333333,-14.3537777777778
0203720201,280.639125,79.74925
0677181901,248.487041666667,-7.67122222222222
0677700137,349.357125,-53.0842222222222
0741032601,231.530458333333,59.2669444444444
0551600101,193.147833333333,-15.4456666666667
0302100301,323.385958333333,51.1239166666667
0112830301,146.929458333333,-30.9758333333333
0747430141,24.3264583333333,-0.108416666666667
0844140201,325.742,6.92247222222222
0783880901,222.265708333333,48.5437777777778
0780451101,36.3682083333333,-4.184
0135970101,303.575541666667,41.2405833333333
0009221001,93.8629583333334,71.064
0162362733,132.506333333333,-45.7215833333333
0304220101,265.084,-29.1038888888889
0727780401,238.940125,11.1634166666667
0602440101,50.3364583333333,-37.1872777777778
0824450601,346.215916666667,12.3588611111111
0304030601,184.611416666667,29.7838055555556
0604873435,350.605708333333,-53.8770277777778
0805200401,254.536458333333,-42.6725555555556
0675060101,90.802375,42.2734444444444
0784350101,132.4005,2.21858333333333
0204220201,113.424208333333,-46.8704722222222
0093641101,170.069125,12.9642222222222
0502670101,99.2246666666667,-5.32577777777778
0764460201,241.327291666667,32.7932777777778
0405240201,51.1810416666667,-3.02419444444444
0722540201,41.4632083333333,1.41313888888889
0101440501,67.1256666666667,15.981
0677630138,30.864875,-4.83558333333333
0763910901,132.908125,-4.24402777777778
0149670301,341.616208333333,-52.7330555555556
0782520601,155.87,19.8932222222222
0670040601,232.813083333333,7.47919444444444
0112600801,239.793833333333,35.0573888888889
0602520301,22.2870416666667,-73.5282777777778
0677770139,356.613208333333,-56.3092222222222
0099280101,166.11775,38.1795833333333
0693550501,40.60475,-50.7811111111111
