RA,DEC,Z,LAMBDA_CHISQ,R_LAMBDA,MEM_MATCH_ID,OBSID
22.83439049,-13.47083195,0.20987687,26.898733,0.76903546,1688,84230301
34.15076154,-4.451505776,0.43946502,52.237244,0.8782053,2972,404967001
8.673260268,-43.8440803,0.53948027,48.02687,0.86356866,4784,827240101
